languages;percent;year;
Romanian;0.237;2010;
Russian;0.178;2010;
Romanian/Russian;0.221;2010;
Romanian/English;0.155;2010;
Russian/English;0.034;2010;
Romanian/Russian/English;0.06;2010;
Romanian/Russian/other;0;2010;
English;0.048;2010;
Other;0.067;2010;
Romanian;0.536;2014;
Russian;0.21;2014;
Romanian/Russian;0.144;2014;
Romanian/English;0.052;2014;
Russian/English;0.01;2014;
Romanian/Russian/English;0.012;2014;
Romanian/Russian/other;0;2014;
English;0.034;2014;
Other;0.01;2014;
Romanian;0.383;2013_2017;
Russian;0.113;2013-2017;
Romanian/Russian;0.329;2013-2017;
Romanian/English;0.086;2013-2017;
Russian/English;0.019;2013-2017;
Romanian/Russian/English;0.034;2013-2017;
Romanian/Russian/other;0;2013-2017;
English;0.033;2013-2017;
Other;0.02;2013-2017;
Romanian;0.364;2017;k
Russian;0.10;2017;k
Romanian/Russian;0.352;2017;k
Romanian/English;0.093;2017;k
Russian/English;0.02;2017;k
Romanian/Russian/English;0.036;2017;k
Romanian/Russian/other;0;2017;k
English;0.033;2017;k
Other;0.02;2017;k
Romanian;0.382;2016;i
Russian;0.108;2016;
Romanian/Russian;0.336;2016;
Romanian/English;0.079;2016;
Russian/English;0.022;2016;
Romanian/Russian/English;0.035;2016;
Romanian/Russian/other;0;2016;
English;0.035;2016;
Other;0.02;2016;
Romanian;0.385;2015;
Russian;0.092;2015;
Romanian/Russian;0.344;2015;
Romanian/English;0.09;2015;
Russian/English;0.021;2015;
Romanian/Russian/English;0.031;2015;
Romanian/Russian/other;0;2015;
English;0.036;2015;
Other;0;2015;
Romanian;0.35;2014;
Russian;0.107;2014;
Romanian/Russian;0.361;2014;
Romanian/English;0.094;2014;
Russian/English;0.021;2014;
Romanian/Russian/English;0.036;2014;
Romanian/Russian/other;0;2014;
English;0.032;2014;
Other;0;2014;
Romanian;0.366;2013;
Russian;0.139;2013;
Romanian/Russian;0.35;2013;
Romanian/English;0.054;2013;
Russian/English;0.02;2013;
Romanian/Russian/English;0.046;2013;
Romanian/Russian/other;0;2013;
English;0.023;2013;
Other;0.02;2013;
